,unique fns,unique flows,total fns and flows
Perpetuum FSH/C,9.0,6.0,54.0
Enocean Eco 100,11.0,7.0,77.0
Clarkson U prototype,13.0,7.0,91.0
Michigan U PFIG,13.0,6.0,78.0
U Texas prototype Induc Vib,15.0,7.0,105.0
Seiko Kinetic watch,16.0,9.0,144.0
AA battery harvester,15.0,9.0,135.0
Socket,12.0,8.0,96.0
Kinetic flashlight,15.0,8.0,120.0
MIDE Voiture,12.0,6.0,72.0
Bistable buckling harvester,10.0,5.0,50.0
Heel-impact shoe harvester,15.0,7.0,105.0
Innowattech road/rail,12.0,3.0,36.0
Piezo backpack straps,12.0,5.0,60.0
U Texas prototype Piezo Vib,17.0,7.0,119.0
WindTamer,13.0,10.0,130.0
Leviathan,12.0,9.0,108.0
Enviro Engergies,13.0,9.0,117.0
Four Seasons,13.0,8.0,104.0
Humdinger Wind Belt,9.0,8.0,72.0
Michigan U piezo flag,10.0,8.0,80.0
Nova Energy tuna turbine,13.0,10.0,130.0
Columbia Power Manta buoy,11.0,7.0,77.0
Wing Wave Generator,10.0,8.0,80.0
Solar heat engine w/ mirrors,16.0,7.0,112.0
Tracking system,18.0,7.0,126.0
Inflatable mat,14.0,9.0,126.0
Big Belly trash compactor,19.0,10.0,190.0
Transparent film on window,8.0,6.0,48.0
Seiko Solar watch,16.0,8.0,128.0
Seiko Thermic watch,17.0,10.0,170.0
Enocean ECT 310 Perpetuum,14.0,7.0,98.0
Micropelt TE-power probe,11.0,9.0,99.0
Micropelt TE-power ring,11.0,8.0,88.0
Micropelt STM-PEM,11.0,7.0,77.0
Solar powered Sterling engine,11.0,10.0,110.0
Solar/wind streetlamp,15.0,10.0,150.0
Kinesis wind/solar,17.0,11.0,187.0
Hymini wind/solar/crank,18.0,12.0,216.0
74 Chevy Tailgate Support-RBS,9.0,5.0,13.0
Air Compressor 22,12.0,8.0,19.0
B&D Cordless Screwdriver,14.0,8.0,20.0
B&D Elec. Polisher,11.0,9.0,18.0
B&D Weed Trimmer,10.0,5.0,12.0
Battery Op. Toothbrush,12.0,10.0,19.0
Bissel Hand Vacuum,8.0,7.0,14.0
Black & Decker Elec. Knife,10.0,8.0,16.0
Black & Decker Sander,12.0,9.0,18.0
Braun Hand Blender,8.0,8.0,13.0
Bubble Machine,9.0,8.0,13.0
Bumble Ball Toy,10.0,5.0,11.0
Cadillac Slide-Out Visor-RBS,6.0,7.0,10.0
Corvette Vac 23,12.0,10.0,20.0
Crossfire Game,8.0,6.0,12.0
Dazey Fruit & Veg. Stripper-RBS,13.0,7.0,19.0
De walt sander,13.0,10.0,20.0
Dremel Electric Engraver-RBS,9.0,6.0,13.0
Durabuilt Hand Vacuum,12.0,11.0,20.0
Electric Can Opener,11.0,8.0,16.0
Electric Pencil Sharpener,13.0,7.0,17.0
Ertl Bumble Ball,9.0,7.0,13.0
F.Price Remote Control Car,10.0,8.0,18.0
Fisher Price Bubble Mower,8.0,7.0,10.0
Green Eagle Putting Cup,8.0,5.0,13.0
Hair Dryer,11.0,12.0,23.0
Hamilton  Elec. Mixer,10.0,8.0,13.0
Horseman Swimming Toy,9.0,6.0,13.0
Hot Glue Gun 21,11.0,8.0,20.0
Humidifier,13.0,11.0,20.0
Krups Cheese Grater,13.0,6.0,16.0
Mattel Bubble Extinguisher,9.0,9.0,14.0
Mini Pro Hair Dryer,10.0,10.0,17.0
Moen Kitchen Water Faucet,6.0,5.0,9.0
Mr. Coffee Coffee Maker-RBS,15.0,8.0,23.0
Mr. Coffee Iced Tea Maker-RBS,15.0,9.0,23.0
OverRider Toy Car,9.0,7.0,12.0
Paint Sprayer,10.0,8.0,18.0
Pneumatic Air Ratchet,12.0,9.0,17.0
Portable Fan,10.0,10.0,15.0
Power Caulk 20,9.0,7.0,14.0
Presto Popcorn Popper,8.0,6.0,13.0
Presto Salad Shooter,13.0,8.0,17.0
Radio Controlled Truck,10.0,8.0,13.0
Real Power Tool Shop,8.0,3.0,8.0
Regal Ware Electric Knife,10.0,9.0,19.0
SKIL Power Screwdriver-RBS,13.0,6.0,18.0
Salon Series 795 Hair Dryer,9.0,9.0,17.0
Salton Sandwich Maker,12.0,6.0,19.0
Stamp Machine 17,11.0,4.0,15.0
Super Maxx Ball Shooter-RBS,11.0,7.0,17.0
Takka-1000 Pasta Machine,11.0,9.0,17.0
Tape Rewinder 22,9.0,7.0,14.0
Toy Solar Car,8.0,7.0,12.0
Upright Vacuum Cleaner,8.0,6.0,11.0
Wagner Paint Roller,11.0,6.0,15.0
West Bend Iced Tea Maker-RBS,15.0,8.0,24.0
West Bend Mixer,12.0,8.0,16.0
WestBend Food Processor,10.0,6.0,11.0
Wet/Dry Vacuum,9.0,9.0,18.0
bicycle brake 18,10.0,3.0,13.0
